"GridSquares","6M","10M","12M","15M","17M","20M","30M","40M","80M","160M","","","","","","","","",""
"EM89","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM90","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM91","","","","","","","","","C","","","","","C","W","","","C","W"
"EM92","","","","","","C","","","C","","","","","C","W","","","C","W"
"EM93","","","","","","","","","C","C","","","","C","W","","","C","W"
"EM94","","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM95","","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM96","C","C","","","","","","C","C","C","","","","C","W","","","C","W"
"EM97","C","","","","","","","C","C","C","","","","C","W","","","C","W"
"EM98","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
"EM99","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN00","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"EN01","W","","","","","","","","","","","","","","W","","","","W"
"EN02","C","","","","","","","","","","","","","C","W","","","C","W"
"EN03","C","","","","","","","","","","","","","C","W","","","C","W"
"EN04","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EN05","C","","","","","","","","","","","","","C","W","","","C","W"
"EN06","C","","","","","","","","","","","","","C","W","","","C","W"
"EN07","C","","","","","","","","","","","","","C","W","","","C","W"
"EN08","C","","","","","","","","","","","","","C","W","","","C","W"
"EN10","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN11","C","","","C","","C","","","C","","","","","C","W","","","C","W"
"EN12","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EN13","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN14","C","","","C","","C","","C","C","","","","","C","W","","","C","W"
"EN15","C","","","","","","","","","","","","","C","W","","","C","W"
"EN16","C","","","","","C","","","","","","","","C","W","","","C","W"
"EN17","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EN18","C","","","","","C","","C","","","","","","C","W","","","C","W"
"EN19","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"EN20","C","","","","","","","","","","","","","C","W","","","C","W"
"EN21","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN22","C","","","","","","","","","","","","","C","W","","","C","W"
"EN23","C","C","","","","C","","","C","","","","","C","W","","","C","W"
"EN24","C","","","","","","","","","","","","","C","W","","","C","W"
"EN25","C","","","C","","C","","C","C","","","","","C","W","","","C","W"
"EN26","C","","","","","","","","","","","","","C","W","","","C","W"
"EN27","C","","","","","C","","C","","C","","","","C","W","","","C","W"
"EN28","C","","","","","","","","","","","","","C","W","","","C","W"
"EN29","C","","","","","","","","","","","","","C","W","","","C","W"
"EN30","C","","","","","","","","","C","","","","C","W","","","C","W"
"EN31","C","C","","","","C","C","C","C","C","","","","C","W","","","C","W"
"EN32","C","C","","","C","C","","C","C","C","","","","C","W","","","C","W"
"EN33","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"EN34","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN35","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN36","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"EN37","C","","","","","C","","","C","C","","","","C","W","","","C","W"
"EN38","C","","","","","","","","","","","","","C","W","","","C","W"
"EN40","C","","","","","","","C","C","","","","","C","W","","","C","W"
"EN41","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"EN42","C","","","","","C","","C","C","C","","","","C","W","","","C","W"
